time,gyro_x,gyro_y,gyro_z,absolute,activity
0 days 00:05:27,0.0143,0.152,0.0203,0.154,standing
0 days 00:05:27,0.0288,0.137,0.0102,0.14,standing
0 days 00:05:27,0.0387,0.125,-0.00213,0.131,standing
0 days 00:05:27,0.0429,0.0996,-0.015,0.109,standing
0 days 00:05:27,0.0339,0.0661,-0.0184,0.0766,standing
0 days 00:05:27,0.0275,0.0462,-0.0216,0.058,standing
0 days 00:05:27,0.0202,0.039,-0.0238,0.0499,standing
0 days 00:05:27,0.0142,0.0474,-0.0223,0.0543,standing
0 days 00:05:27,0.00152,0.0499,-0.02,0.0538,standing
0 days 00:05:27,-0.017,0.0446,-0.0182,0.0511,standing
0 days 00:05:27,-0.0126,0.072,-0.00962,0.0737,standing
0 days 00:05:27,-0.00724,0.101,0.00125,0.101,standing
0 days 00:05:28,0.000938,0.108,-0.000265,0.108,standing
0 days 00:05:28,0.00608,0.109,0.00805,0.109,standing
0 days 00:05:28,0.0175,0.113,0.0192,0.116,standing
0 days 00:05:28,0.0374,0.128,0.0195,0.135,standing
0 days 00:05:28,0.0427,0.123,0.0149,0.131,standing
0 days 00:05:28,0.0431,0.125,0.0247,0.135,standing
0 days 00:05:28,0.044,0.144,0.0258,0.153,standing
0 days 00:05:28,0.0402,0.164,0.0273,0.171,standing
0 days 00:05:28,0.0248,0.159,0.0314,0.164,standing
0 days 00:05:28,0.0135,0.149,0.0248,0.152,standing
0 days 00:05:28,0.0163,0.132,0.0207,0.135,standing
0 days 00:05:28,0.0362,0.139,0.0195,0.145,standing
0 days 00:05:28,0.052,0.128,0.0254,0.14,standing
0 days 00:05:28,0.0733,0.131,0.0323,0.153,standing
0 days 00:05:28,0.0874,0.137,0.0318,0.166,standing
0 days 00:05:28,0.0832,0.128,0.0192,0.153,standing
0 days 00:05:28,0.0613,0.1,0.00558,0.117,standing
0 days 00:05:28,0.00785,0.032,-0.00548,0.0334,standing
0 days 00:05:28,-0.0424,-0.015,-0.0156,0.0476,standing
0 days 00:05:28,-0.0953,-0.0537,-0.0218,0.112,standing
0 days 00:05:28,-0.133,-0.0603,-0.0303,0.15,standing
0 days 00:05:28,-0.157,-0.0551,-0.0197,0.168,standing
0 days 00:05:28,-0.166,-0.0616,-0.00662,0.178,standing
0 days 00:05:28,-0.138,-0.0521,-0.00355,0.147,standing
0 days 00:05:28,-0.0841,-0.0291,0.000363,0.089,standing
0 days 00:05:28,-0.0185,-0.0118,0.00269,0.0221,standing
0 days 00:05:28,0.0404,-0.00547,0.0082,0.0416,standing
0 days 00:05:28,0.104,0.043,0.0246,0.115,standing
0 days 00:05:28,0.148,0.104,0.038,0.185,standing
0 days 00:05:28,0.157,0.142,0.0289,0.213,standing
0 days 00:05:28,0.125,0.143,0.0183,0.191,standing
0 days 00:05:28,0.0856,0.146,0.003,0.169,standing
0 days 00:05:28,0.0449,0.153,-0.00364,0.16,standing
0 days 00:05:28,0.00058,0.126,-0.00259,0.126,standing
0 days 00:05:28,-0.0339,0.0732,-0.00961,0.0813,standing
0 days 00:05:28,-0.0424,0.0481,-0.0115,0.0652,standing
0 days 00:05:28,-0.0172,0.064,-0.00821,0.0668,standing
0 days 00:05:28,0.0138,0.0815,0.00173,0.0826,standing
0 days 00:05:28,0.0277,0.0751,0.011,0.0808,standing
0 days 00:05:28,0.0415,0.0742,0.00911,0.0855,standing
0 days 00:05:28,0.0485,0.0642,0.00172,0.0805,standing
0 days 00:05:28,0.0403,0.0421,0.000264,0.0583,standing
0 days 00:05:28,0.0297,0.0177,0.00294,0.0347,standing
0 days 00:05:28,0.0159,-0.0202,-0.00745,0.0268,standing
0 days 00:05:28,0.00228,-0.0657,-0.0112,0.0667,standing
0 days 00:05:28,0.00511,-0.0695,-0.00425,0.0698,standing
0 days 00:05:28,0.032,-0.0307,0.00968,0.0454,standing
0 days 00:05:28,0.0462,-0.0117,0.00912,0.0485,standing
0 days 00:05:28,0.0338,-0.0515,0.000827,0.0616,standing
0 days 00:05:28,0.0161,-0.0819,0.000883,0.0835,standing
0 days 00:05:28,0.0164,-0.0728,0.00439,0.0748,standing
0 days 00:05:28,0.0362,-0.0295,0.00544,0.0471,standing
0 days 00:05:28,0.0453,-0.0107,0.0129,0.0483,standing
0 days 00:05:28,0.0395,-0.021,0.0135,0.0467,standing
0 days 00:05:28,0.0156,-0.0561,0.00265,0.0583,standing
0 days 00:05:28,-0.0196,-0.0853,0.00364,0.0876,standing
0 days 00:05:28,-0.0414,-0.0913,0.00641,0.1,standing
0 days 00:05:28,-0.0478,-0.0809,0.00492,0.094,standing
0 days 00:05:28,-0.0506,-0.079,0.00435,0.0939,standing
0 days 00:05:28,-0.0557,-0.106,0.00218,0.12,standing
0 days 00:05:28,-0.0575,-0.148,0.00215,0.159,standing
0 days 00:05:28,-0.0583,-0.192,0.0028,0.201,standing
0 days 00:05:28,-0.051,-0.212,0.00336,0.218,standing
0 days 00:05:28,-0.0378,-0.222,0.00875,0.226,standing
0 days 00:05:28,-0.0281,-0.219,0.0212,0.222,standing
0 days 00:05:28,0.0033,-0.192,0.0321,0.195,standing
0 days 00:05:28,0.0358,-0.146,0.0337,0.154,standing
0 days 00:05:28,0.0621,-0.101,0.0328,0.123,standing
0 days 00:05:28,0.06,-0.101,0.0294,0.121,standing
0 days 00:05:28,0.0405,-0.116,0.0182,0.125,standing
0 days 00:05:28,0.0173,-0.118,0.0171,0.121,standing
0 days 00:05:28,-0.00723,-0.11,0.00775,0.111,standing
0 days 00:05:28,-0.0173,-0.0791,0.00229,0.081,standing
0 days 00:05:28,-0.00688,-0.0293,0.00601,0.0307,standing
0 days 00:05:28,0.00858,0.0133,0.00957,0.0185,standing
0 days 00:05:28,0.027,0.0417,0.0106,0.0508,standing
0 days 00:05:28,0.0398,0.0389,0.0181,0.0585,standing
0 days 00:05:28,0.0255,-0.00938,0.0122,0.0298,standing
0 days 00:05:28,0.00733,-0.077,0.001,0.0774,standing
0 days 00:05:28,-0.0073,-0.135,-0.00463,0.136,standing
0 days 00:05:28,-0.0131,-0.178,-0.0074,0.179,standing
0 days 00:05:28,-0.00679,-0.188,-0.00681,0.188,standing
0 days 00:05:28,-0.00304,-0.189,-0.00422,0.19,standing
0 days 00:05:28,-0.00902,-0.203,0.00315,0.203,standing
0 days 00:05:28,-0.0235,-0.226,0.00176,0.227,standing
0 days 00:05:28,-0.0373,-0.26,-0.00137,0.262,standing
0 days 00:05:28,-0.0469,-0.293,-0.0065,0.297,standing
0 days 00:05:28,-0.0514,-0.325,-0.00909,0.329,standing
0 days 00:05:28,-0.0488,-0.351,-0.00848,0.355,standing
0 days 00:05:28,-0.0432,-0.358,-0.0051,0.361,standing
0 days 00:05:28,-0.0371,-0.355,0.00197,0.357,standing
0 days 00:05:28,-0.0321,-0.336,0.00506,0.337,standing
0 days 00:05:28,-0.0311,-0.291,0.01,0.293,standing
0 days 00:05:28,-0.00915,-0.204,0.0174,0.205,standing
0 days 00:05:28,0.0252,-0.0852,0.0265,0.0927,standing
0 days 00:05:28,0.0631,0.0272,0.0323,0.0759,standing
0 days 00:05:28,0.081,0.0954,0.0335,0.13,standing
0 days 00:05:28,0.0827,0.117,0.0283,0.146,standing
0 days 00:05:28,0.0708,0.11,0.022,0.133,standing
0 days 00:05:28,0.052,0.0746,0.0139,0.092,standing
0 days 00:05:29,0.0372,0.0347,0.00192,0.0509,standing
0 days 00:05:29,0.0385,0.0176,-0.00677,0.0429,standing
0 days 00:05:29,0.0523,0.0206,-0.00434,0.0563,standing
0 days 00:05:29,0.0593,0.00697,0.000304,0.0597,standing
0 days 00:05:29,0.0558,-0.0268,-0.00324,0.062,standing
0 days 00:05:29,0.0495,-0.0787,-0.0032,0.093,standing
0 days 00:05:29,0.0406,-0.129,-0.00654,0.135,standing
0 days 00:05:29,0.0408,-0.168,-0.00626,0.173,standing
0 days 00:05:29,0.0416,-0.212,-0.00746,0.216,standing
0 days 00:05:29,0.0466,-0.261,-0.0113,0.265,standing
0 days 00:05:29,0.0516,-0.294,-0.0122,0.299,standing
0 days 00:05:29,0.0553,-0.304,-0.00897,0.309,standing
0 days 00:05:29,0.05,-0.297,-0.00286,0.302,standing
0 days 00:05:29,0.0365,-0.276,0.00147,0.278,standing
0 days 00:05:29,0.0285,-0.231,-3.98E-05,0.233,standing
0 days 00:05:29,0.0169,-0.187,0.00129,0.187,standing
0 days 00:05:29,0.0131,-0.156,0.00519,0.157,standing
0 days 00:05:29,0.00997,-0.153,-0.000373,0.153,standing
0 days 00:05:29,0.0109,-0.172,-0.00752,0.173,standing
0 days 00:05:29,0.0191,-0.187,-0.012,0.188,standing
0 days 00:05:29,0.029,-0.211,-0.0156,0.214,standing
0 days 00:05:29,0.0371,-0.237,-0.0197,0.241,standing
0 days 00:05:29,0.0531,-0.226,-0.0226,0.234,standing
0 days 00:05:29,0.078,-0.177,-0.0183,0.194,standing
0 days 00:05:29,0.105,-0.0972,-0.0166,0.144,standing
0 days 00:05:29,0.122,-0.0293,-0.0095,0.126,standing
0 days 00:05:29,0.123,0.016,-0.000752,0.124,standing
0 days 00:05:29,0.124,0.0669,0.00552,0.141,standing
0 days 00:05:29,0.133,0.112,0.0113,0.174,standing
0 days 00:05:29,0.142,0.146,0.0168,0.205,standing
0 days 00:05:29,0.149,0.156,0.0165,0.216,standing
0 days 00:05:29,0.156,0.155,0.0114,0.22,standing
0 days 00:05:29,0.154,0.141,0.00276,0.208,standing
0 days 00:05:29,0.152,0.0952,-0.00617,0.179,standing
0 days 00:05:29,0.147,0.0137,-0.0271,0.15,standing
0 days 00:05:29,0.144,-0.11,-0.0492,0.188,standing
0 days 00:05:29,0.126,-0.282,-0.0675,0.316,standing
0 days 00:05:29,0.11,-0.465,-0.0726,0.483,standing
0 days 00:05:29,0.109,-0.608,-0.0862,0.624,standing
0 days 00:05:29,0.12,-0.709,-0.104,0.726,standing
0 days 00:05:29,0.142,-0.759,-0.122,0.782,standing
0 days 00:05:29,0.173,-0.754,-0.136,0.786,standing
0 days 00:05:29,0.172,-0.669,-0.163,0.71,standing
0 days 00:05:29,0.15,-0.57,-0.19,0.619,standing
0 days 00:05:29,0.141,-0.488,-0.214,0.551,standing
0 days 00:05:29,0.17,-0.407,-0.237,0.5,standing
0 days 00:05:29,0.224,-0.329,-0.255,0.473,standing
0 days 00:05:29,0.273,-0.248,-0.272,0.458,standing
0 days 00:05:29,0.295,-0.155,-0.259,0.422,standing
0 days 00:05:29,0.312,-0.00665,-0.243,0.395,standing
0 days 00:05:29,0.356,0.157,-0.208,0.441,standing
0 days 00:05:29,0.433,0.325,-0.172,0.568,standing
0 days 00:05:29,0.524,0.461,-0.137,0.712,standing
0 days 00:05:29,0.601,0.578,-0.108,0.841,standing
0 days 00:05:29,0.677,0.641,-0.0876,0.936,standing
0 days 00:05:29,0.747,0.61,-0.0885,0.969,standing
0 days 00:05:29,0.834,0.569,-0.125,1.02,standing
0 days 00:05:29,0.92,0.517,-0.146,1.07,standing
0 days 00:05:29,1,0.459,-0.15,1.11,standing
0 days 00:05:29,1.06,0.433,-0.167,1.16,standing
0 days 00:05:29,1.08,0.424,-0.157,1.17,standing
0 days 00:05:29,1.01,0.518,-0.147,1.14,standing
0 days 00:05:29,0.856,0.681,-0.116,1.1,standing
0 days 00:05:29,0.692,0.765,-0.0649,1.03,standing
0 days 00:05:29,0.554,0.7,-0.0149,0.893,standing
0 days 00:05:29,0.426,0.464,0.0323,0.63,standing
0 days 00:05:29,0.33,0.195,0.0299,0.384,standing
0 days 00:05:29,0.261,0.0317,-0.0209,0.264,standing
0 days 00:05:29,0.181,-0.0439,-0.0702,0.199,standing
0 days 00:05:29,0.0653,-0.0858,-0.12,0.161,standing
0 days 00:05:29,-0.0538,0.0767,-0.156,0.182,standing
0 days 00:05:29,-0.118,0.147,-0.137,0.234,standing
0 days 00:05:29,-0.119,0.12,-0.123,0.209,standing
0 days 00:05:29,-0.117,0.0256,-0.108,0.161,standing
0 days 00:05:29,-0.132,-0.0611,-0.0852,0.169,standing
0 days 00:05:29,-0.17,-0.109,-0.0719,0.215,standing
0 days 00:05:29,-0.209,-0.144,-0.0715,0.264,standing
0 days 00:05:29,-0.241,-0.18,-0.0797,0.311,standing
0 days 00:05:29,-0.267,-0.207,-0.0889,0.349,standing
0 days 00:05:29,-0.29,-0.198,-0.0931,0.363,standing
0 days 00:05:29,-0.301,-0.129,-0.0786,0.337,standing
0 days 00:05:29,-0.304,-0.025,-0.0592,0.311,standing
0 days 00:05:29,-0.299,0.0913,-0.046,0.316,standing
0 days 00:05:29,-0.273,0.196,-0.0376,0.338,standing
0 days 00:05:29,-0.22,0.283,-0.0306,0.36,standing
0 days 00:05:29,-0.168,0.315,-0.0221,0.358,standing
0 days 00:05:29,-0.124,0.302,-0.0217,0.327,standing
0 days 00:05:29,-0.0803,0.287,-0.0289,0.299,standing
0 days 00:05:29,-0.042,0.298,-0.0265,0.302,standing
0 days 00:05:29,-0.0371,0.372,-0.029,0.375,standing
0 days 00:05:29,-0.0589,0.451,-0.0327,0.456,standing
0 days 00:05:29,-0.0934,0.504,-0.0242,0.513,standing
0 days 00:05:29,-0.116,0.538,-0.0071,0.55,standing
0 days 00:05:29,-0.114,0.581,0.0157,0.593,standing
0 days 00:05:29,-0.111,0.622,0.0243,0.632,standing
0 days 00:05:29,-0.114,0.589,0.0144,0.6,standing
0 days 00:05:29,-0.128,0.461,-0.0073,0.479,standing
0 days 00:05:29,-0.132,0.304,-0.0186,0.332,standing
0 days 00:05:29,-0.118,0.174,-0.0098,0.21,standing
0 days 00:05:29,-0.113,0.0947,0.00647,0.148,standing
0 days 00:05:30,-0.129,0.0648,0.0268,0.147,standing
0 days 00:05:30,-0.169,0.014,0.0517,0.177,standing
0 days 00:05:30,-0.204,-0.0363,0.0662,0.217,standing
0 days 00:05:30,-0.221,-0.0444,0.0763,0.238,standing
0 days 00:05:30,-0.223,0.0425,0.0829,0.241,standing
0 days 00:05:30,-0.224,0.219,0.0835,0.324,standing
0 days 00:05:30,-0.236,0.401,0.078,0.472,standing
0 days 00:05:30,-0.242,0.495,0.0574,0.554,standing
0 days 00:05:30,-0.235,0.469,0.0243,0.525,standing
0 days 00:05:30,-0.219,0.362,-0.0161,0.423,standing
0 days 00:05:30,-0.186,0.234,-0.0426,0.302,standing
0 days 00:05:30,-0.149,0.118,-0.0488,0.197,standing
0 days 00:05:30,-0.111,0.0507,-0.042,0.129,standing
0 days 00:05:30,-0.0804,0.0679,-0.0305,0.11,standing
0 days 00:05:30,-0.0606,0.115,-0.0209,0.132,standing
0 days 00:05:30,-0.053,0.139,-0.0111,0.149,standing
0 days 00:05:30,-0.0614,0.125,-0.00154,0.139,standing
0 days 00:05:30,-0.0906,0.0918,-0.0146,0.13,standing
0 days 00:05:30,-0.133,0.0355,-0.0466,0.145,standing
0 days 00:05:30,-0.179,-0.0208,-0.0829,0.198,standing
0 days 00:05:30,-0.205,-0.0549,-0.108,0.238,standing
0 days 00:05:30,-0.205,-0.0527,-0.113,0.24,standing
0 days 00:05:30,-0.172,-0.0137,-0.102,0.2,standing
0 days 00:05:30,-0.112,0.067,-0.0754,0.15,standing
0 days 00:05:30,-0.0559,0.143,-0.0515,0.162,standing
0 days 00:05:30,-0.0308,0.202,-0.0272,0.206,standing
0 days 00:05:30,-0.0316,0.229,-0.00178,0.231,standing
0 days 00:05:30,-0.0459,0.227,0.0221,0.233,standing
0 days 00:05:30,-0.0713,0.199,0.0326,0.214,standing
0 days 00:05:30,-0.085,0.169,0.0293,0.191,standing
0 days 00:05:30,-0.0922,0.161,0.0305,0.188,standing
0 days 00:05:30,-0.0946,0.162,0.0293,0.19,standing
0 days 00:05:30,-0.102,0.178,0.0284,0.207,standing
0 days 00:05:30,-0.113,0.205,0.0235,0.235,standing
0 days 00:05:30,-0.124,0.218,0.0186,0.251,standing
0 days 00:05:30,-0.145,0.235,0.0104,0.276,standing
0 days 00:05:30,-0.158,0.262,0.000974,0.306,standing
0 days 00:05:30,-0.168,0.29,-0.00939,0.335,standing
0 days 00:05:30,-0.174,0.289,-0.0288,0.339,standing
0 days 00:05:30,-0.171,0.251,-0.0405,0.307,standing
0 days 00:05:30,-0.159,0.21,-0.0511,0.268,standing
0 days 00:05:30,-0.134,0.168,-0.0504,0.221,standing
0 days 00:05:30,-0.11,0.147,-0.0486,0.189,standing
0 days 00:05:30,-0.0878,0.149,-0.0405,0.177,standing
0 days 00:05:30,-0.0754,0.159,-0.0334,0.179,standing
0 days 00:05:30,-0.0668,0.174,-0.0253,0.188,standing
0 days 00:05:30,-0.0605,0.232,-0.0219,0.241,standing
0 days 00:05:30,-0.0818,0.273,-0.0173,0.286,standing
0 days 00:05:30,-0.106,0.301,-0.00966,0.32,standing
0 days 00:05:30,-0.12,0.33,0.00205,0.352,standing
0 days 00:05:30,-0.138,0.334,0.00571,0.361,standing
0 days 00:05:30,-0.157,0.316,0.00724,0.353,standing
0 days 00:05:30,-0.173,0.283,0.00907,0.331,standing
0 days 00:05:30,-0.175,0.249,0.00737,0.305,standing
0 days 00:05:30,-0.163,0.214,0.00157,0.269,standing
0 days 00:05:30,-0.144,0.167,-0.00674,0.221,standing
0 days 00:05:30,-0.136,0.127,-0.0105,0.187,standing
0 days 00:05:30,-0.141,0.0732,-0.007,0.159,standing
0 days 00:05:30,-0.156,0.00647,-0.00407,0.156,standing
0 days 00:05:30,-0.173,-0.0676,-0.00706,0.186,standing
0 days 00:05:30,-0.187,-0.12,-0.00271,0.222,standing
0 days 00:05:30,-0.197,-0.126,0.00359,0.234,standing
0 days 00:05:30,-0.198,-0.0999,0.011,0.222,standing
0 days 00:05:30,-0.193,-0.0587,0.0173,0.202,standing
0 days 00:05:30,-0.186,-0.00376,0.0209,0.187,standing
0 days 00:05:30,-0.182,0.036,0.0291,0.188,standing
0 days 00:05:30,-0.187,0.0458,0.0325,0.195,standing
0 days 00:05:30,-0.188,0.0253,0.0208,0.191,standing
0 days 00:05:30,-0.185,-0.00813,0.00365,0.186,standing
0 days 00:05:30,-0.18,-0.0815,-0.00889,0.197,standing
0 days 00:05:30,-0.155,-0.144,-0.024,0.213,standing
0 days 00:05:30,-0.0969,-0.182,-0.0371,0.209,standing
0 days 00:05:30,-0.0479,-0.21,-0.0479,0.221,standing
0 days 00:05:30,-0.0414,-0.252,-0.0613,0.263,standing
0 days 00:05:30,-0.0632,-0.268,-0.068,0.283,standing
0 days 00:05:30,-0.0924,-0.27,-0.0617,0.292,standing
0 days 00:05:30,-0.135,-0.275,-0.0466,0.309,standing
0 days 00:05:30,-0.179,-0.289,-0.0258,0.341,standing
0 days 00:05:30,-0.211,-0.322,-0.00698,0.385,standing
0 days 00:05:30,-0.219,-0.379,0.012,0.438,standing
0 days 00:05:30,-0.204,-0.443,0.0296,0.489,standing
0 days 00:05:30,-0.167,-0.501,0.039,0.53,standing
0 days 00:05:30,-0.116,-0.518,0.0317,0.532,standing
0 days 00:05:30,-0.063,-0.473,0.0171,0.478,standing
0 days 00:05:30,-0.0182,-0.377,0.00662,0.377,standing
0 days 00:05:30,0.00154,-0.263,-0.0106,0.263,standing
0 days 00:05:30,-0.00162,-0.166,-0.0264,0.168,standing
0 days 00:05:30,-0.0148,-0.108,-0.0422,0.117,standing
0 days 00:05:30,-0.0259,-0.117,-0.0476,0.129,standing
0 days 00:05:30,-0.044,-0.172,-0.044,0.183,standing
0 days 00:05:30,-0.07,-0.237,-0.0406,0.25,standing
0 days 00:05:30,-0.0868,-0.287,-0.035,0.302,standing
0 days 00:05:30,-0.0986,-0.291,-0.0203,0.308,standing
0 days 00:05:30,-0.104,-0.268,-0.00212,0.287,standing
0 days 00:05:30,-0.0932,-0.225,0.0149,0.244,standing
0 days 00:05:30,-0.0637,-0.197,0.0272,0.209,standing
0 days 00:05:30,-0.0356,-0.177,0.0295,0.183,standing
0 days 00:05:30,-0.0124,-0.16,0.0294,0.164,standing
0 days 00:05:30,0.00608,-0.14,0.034,0.144,standing
0 days 00:05:30,0.012,-0.126,0.0319,0.131,standing
0 days 00:05:31,0.00864,-0.114,0.0254,0.117,standing
0 days 00:05:31,-0.00548,-0.0969,0.0155,0.0983,standing
0 days 00:05:31,-0.0183,-0.107,0.00594,0.108,standing
0 days 00:05:31,-0.0361,-0.143,-0.00158,0.147,standing
0 days 00:05:31,-0.0515,-0.176,-0.0106,0.183,standing
0 days 00:05:31,-0.0648,-0.219,-0.0205,0.229,standing
0 days 00:05:31,-0.0753,-0.246,-0.0202,0.258,standing
0 days 00:05:31,-0.0714,-0.257,-0.0192,0.267,standing
0 days 00:05:31,-0.0561,-0.24,-0.0167,0.247,standing
0 days 00:05:31,-0.0337,-0.185,-0.0106,0.188,standing
0 days 00:05:31,-0.00591,-0.122,-0.00632,0.122,standing
0 days 00:05:31,0.0243,-0.0489,0.00315,0.0547,standing
0 days 00:05:31,0.0552,0.0226,0.00457,0.0598,standing
0 days 00:05:31,0.0687,0.0432,0.0077,0.0815,standing
0 days 00:05:31,0.0467,0.00454,0.00449,0.0472,standing
0 days 00:05:31,0.0112,-0.0432,-0.00337,0.0447,standing
0 days 00:05:31,-0.0308,-0.096,-0.00294,0.101,standing
0 days 00:05:31,-0.0665,-0.133,-0.00509,0.149,standing
0 days 00:05:31,-0.0808,-0.136,-0.0022,0.158,standing
0 days 00:05:31,-0.0716,-0.118,0.00606,0.138,standing
0 days 00:05:31,-0.036,-0.0663,0.0145,0.0768,standing
0 days 00:05:31,0.0119,0.000286,0.0162,0.0201,standing
0 days 00:05:31,0.0425,0.0369,0.00948,0.0571,standing
0 days 00:05:31,0.0376,0.0235,-0.0016,0.0444,standing
0 days 00:05:31,0.0143,-0.0157,-0.0136,0.0252,standing
0 days 00:05:31,0.00562,-0.0227,-0.0194,0.0304,standing
0 days 00:05:31,0.00311,-0.011,-0.019,0.0221,standing
0 days 00:05:31,-0.0102,-0.0269,-0.0149,0.0324,standing
0 days 00:05:31,-0.0338,-0.0587,-0.0086,0.0682,standing
0 days 00:05:31,-0.0454,-0.0829,-0.00464,0.0946,standing
0 days 00:05:31,-0.0382,-0.0895,0.00205,0.0973,standing
0 days 00:05:31,-0.0259,-0.083,0.00836,0.0873,standing
0 days 00:05:31,-0.0145,-0.0681,0.0117,0.0706,standing
0 days 00:05:31,-0.0125,-0.0408,0.0157,0.0455,standing
0 days 00:05:31,0.000673,0.000488,0.0183,0.0183,standing
0 days 00:05:31,0.00857,0.0196,0.0146,0.0259,standing
0 days 00:05:31,0.00188,0.0072,0.0108,0.0131,standing
0 days 00:05:31,-0.0135,-0.028,0.00871,0.0323,standing
0 days 00:05:31,-0.027,-0.0715,0.00391,0.0766,standing
0 days 00:05:31,-0.0293,-0.0786,0.00286,0.0839,standing
0 days 00:05:31,-0.0172,-0.0486,0.00807,0.0522,standing
0 days 00:05:31,-0.00126,-0.0109,0.0109,0.0155,standing
0 days 00:05:31,-0.00189,0.0161,0.015,0.0221,standing
0 days 00:05:31,-0.00635,0.0253,0.015,0.0301,standing
0 days 00:05:31,-0.000866,0.027,0.0108,0.0291,standing
0 days 00:05:31,0.0181,0.0343,0.0105,0.0402,standing
0 days 00:05:31,0.0238,0.0393,0.00954,0.047,standing
0 days 00:05:31,0.0184,0.0219,0.00993,0.0303,standing
0 days 00:05:31,0.0113,0.0173,0.0135,0.0247,standing
0 days 00:05:31,0.00415,0.0298,0.0179,0.035,standing
0 days 00:05:31,-0.000851,0.0453,0.0208,0.0498,standing
0 days 00:05:31,-0.00335,0.066,0.0278,0.0717,standing
0 days 00:05:31,-0.0112,0.0578,0.0332,0.0676,standing
0 days 00:05:31,-0.0212,0.0267,0.0332,0.0475,standing
0 days 00:05:31,-0.0192,0.025,0.035,0.0471,standing
0 days 00:05:31,-0.00826,0.0415,0.0369,0.0562,standing
0 days 00:05:31,-0.0042,0.0662,0.0391,0.077,standing
0 days 00:05:31,-0.000232,0.0885,0.0366,0.0958,standing
0 days 00:05:31,-2.91E-05,0.091,0.0316,0.0964,standing
0 days 00:05:31,7.86E-05,0.0758,0.0323,0.0823,standing
0 days 00:05:31,-0.0059,0.051,0.0307,0.0598,standing
0 days 00:05:31,-0.0129,0.0269,0.0336,0.045,standing
0 days 00:05:31,-0.0204,0.0122,0.0322,0.04,standing
0 days 00:05:31,-0.0303,0.00474,0.0357,0.0471,standing
0 days 00:05:31,-0.0396,0.00254,0.0417,0.0576,standing
0 days 00:05:31,-0.0343,-0.0027,0.0475,0.0587,standing
0 days 00:05:31,-0.0181,-0.00376,0.0471,0.0506,standing
0 days 00:05:31,0.00931,0.012,0.0435,0.046,standing
0 days 00:05:31,0.0376,0.0417,0.0349,0.0661,standing
0 days 00:05:31,0.0483,0.083,0.0249,0.0992,standing
0 days 00:05:31,0.0302,0.0878,0.0186,0.0947,standing
0 days 00:05:31,0.00707,0.0811,0.00733,0.0818,standing
0 days 00:05:31,-0.00249,0.0742,0.00363,0.0744,standing
0 days 00:05:31,-0.00933,0.0535,0.00417,0.0545,standing
0 days 00:05:31,-0.0228,0.0116,0.0045,0.0259,standing
0 days 00:05:31,-0.0247,0.00885,0.00318,0.0265,standing
0 days 00:05:31,-0.0056,0.048,0.0121,0.0499,standing
0 days 00:05:31,0.000705,0.0824,0.0128,0.0834,standing
0 days 00:05:31,-0.0153,0.0641,0.00591,0.0662,standing
0 days 00:05:31,-0.0222,0.0466,0.000549,0.0516,standing
0 days 00:05:31,-0.00796,0.0583,0.00526,0.0591,standing
0 days 00:05:31,-0.000562,0.0833,0.0105,0.084,standing
0 days 00:05:31,0.00295,0.119,0.0124,0.119,standing
0 days 00:05:31,0.0113,0.143,0.013,0.144,standing
0 days 00:05:31,0.0211,0.158,0.0207,0.16,standing
0 days 00:05:31,0.0358,0.181,0.0184,0.185,standing
0 days 00:05:31,0.0287,0.178,0.0138,0.181,standing
0 days 00:05:31,0.0218,0.134,0.00564,0.136,standing
0 days 00:05:31,0.013,0.0643,0.00179,0.0657,standing
0 days 00:05:31,-0.0209,-0.0306,-0.00344,0.0372,standing
0 days 00:05:31,-0.0466,-0.0867,-0.0187,0.1,standing
0 days 00:05:31,-0.0322,-0.0439,-0.00383,0.0546,standing
0 days 00:05:31,0.0116,0.0712,0.0133,0.0734,standing
0 days 00:05:31,0.055,0.183,0.0231,0.193,standing
0 days 00:05:31,0.0702,0.212,0.0243,0.224,standing
0 days 00:05:31,0.0648,0.169,0.0158,0.181,standing
0 days 00:05:31,0.0555,0.118,0.0042,0.131,standing
0 days 00:05:31,0.0309,0.0549,-0.00327,0.0631,standing
0 days 00:05:31,-0.00338,0.00217,-0.0148,0.0153,standing
0 days 00:05:31,-0.0044,-0.00968,-0.0143,0.0179,standing
0 days 00:05:32,0.0186,0.0275,0.000846,0.0332,standing
0 days 00:05:32,0.042,0.0583,0.00925,0.0724,standing
0 days 00:05:32,0.0482,0.0749,0.00939,0.0896,standing
0 days 00:05:32,0.0437,0.0501,0.00448,0.0666,standing
0 days 00:05:32,0.0142,-0.00694,0.00102,0.0158,standing
0 days 00:05:32,-0.0126,-0.0377,-0.00285,0.0398,standing
0 days 00:05:32,-0.0221,-0.0385,-0.000628,0.0444,standing
0 days 00:05:32,-0.0315,-0.0326,0.0036,0.0455,standing
0 days 00:05:32,-0.021,-0.0196,0.0109,0.0307,standing
0 days 00:05:32,0.00988,0.0158,0.0182,0.0261,standing
0 days 00:05:32,0.0305,0.0461,0.0219,0.0594,standing
0 days 00:05:32,0.0264,0.0312,0.0198,0.0454,standing
0 days 00:05:32,0.0356,0.0563,0.0162,0.0686,standing
0 days 00:05:32,0.0529,0.087,0.0133,0.103,standing
0 days 00:05:32,0.0417,0.0773,0.0166,0.0894,standing
0 days 00:05:32,0.00374,0.00646,0.00494,0.00895,standing
